,lumbar,,,,,,,,,
time,ax,ay,az,wx,wy,wz,q0,q1,q2,q3
0.0,9.57037267084312,-0.3879178990416812,1.7102803355049487,0.9979765982244544,-0.14954069256782535,0.5152623650665108,0.7233676029719737,-0.23720310578479528,-0.5965276596350143,-0.25422184970415307
0.09740259999999999,8.939363312611382,-0.373647812187397,1.573686127838451,0.9390102490302055,-0.06727854612236199,0.41654812699089405,0.7283666360299754,-0.22104925446956528,-0.6040051670069929,-0.23621394718703972
0.1448149,9.369223024804837,-0.6813518679636414,2.4598323368623327,0.18585060615449212,-0.04842051227242747,-0.039089944389116074,0.7220051962892587,-0.19069940256558232,-0.6271283840020087,-0.22147736762809145
0.1678412,10.055628302337478,0.5473207225342437,1.7889510029701605,-0.4365529630647401,-0.1482743124993589,-0.10203552757993362,0.7228098886231892,-0.18878191338760666,-0.6249172001482526,-0.226684245251223
0.1947645,9.815869434868864,0.1653491405420445,2.1684804318214552,-0.43463950575687327,-0.04660914123104093,-0.02874278765122655,0.7130792666045715,-0.20899716133023105,-0.6199733699382999,-0.25193484606528754
0.254684,9.967948229448403,-0.27296329226346727,2.104180050091565,-0.28015744887555616,0.015632532191492857,-0.11274237295014701,0.7102334659270367,-0.216332610401606,-0.616069832464642,-0.2631094583649253
0.30903579999999997,9.727134927964219,0.42076245988207195,1.9142482822841282,-0.4959735762412304,0.27575863490226127,0.13856200467612517,0.7117133090303136,-0.22636449965888847,-0.6056201925921695,-0.27467701281309814
0.3579777,9.40633932106568,-0.8076120008202288,1.7567958039906637,-0.5785058862067789,0.280004025176959,0.08550883559339653,0.7139568529530745,-0.2359788599292973,-0.5954905412571234,-0.2827907442988727
0.4639739,9.653958608636843,-0.09904391131651279,1.3302709357928655,-0.03310902591500464,-0.21891149933444082,-0.1837214231491089,0.7103193651033675,-0.24226366984075756,-0.5909257528123395,-0.2959078716384686
0.5818595,10.329546558753197,-0.4464390402496685,1.834942074689997,-0.046388406972212484,-0.19684520190990834,0.03582875685231294,0.7051591520863858,-0.24144612462841358,-0.5973676996663095,-0.2959833956932585
0.7727526,9.931240689536299,-0.038694014523283714,1.5478622012844498,-0.04717978567951134,-0.20475736151320764,-0.06030503211050184,0.6999297311159752,-0.2441817770808964,-0.6029303840923406,-0.29487045152031915
0.8559868,9.985138722706377,0.09714199299196852,1.5859467417108544,0.07103100864152785,-0.07979920285782995,-0.05826013491818509,0.6962397622644304,-0.24330588845722884,-0.6076672401284752,-0.2946064550525835
0.9322876999999999,9.919334915983345,0.5513111841246823,1.429255195819323,0.08340206877413685,-0.09616174087983065,-0.03464309791307794,0.6952662841642214,-0.23910530787583825,-0.6139790969884813,-0.2871639154059678
1.0754356,9.844786313845123,0.08370679487896898,1.3596725758610402,0.13606172223011184,-0.08624890434553564,-0.002950187673587719,0.6935927439415747,-0.23685618188079435,-0.6189554561735378,-0.2823515502515549
1.1575778,9.851374626159668,0.13236538620958743,1.294819321099446,0.12176885455846786,-0.05111424413545079,0.012566291800214973,0.6939530375627752,-0.2351581529173489,-0.6206086820527611,-0.2792394824064689
1.2859457,9.89831075822114,0.17469052994437373,1.275200326973012,0.14198082444046597,-0.01651049755911274,0.01413443635663841,0.6943951989330649,-0.23309124136425746,-0.6222869812872548,-0.2761207957006747
1.4099607,9.877661436532925,0.15776010332484813,1.2207403182983398,0.07025202048479587,0.001970829155747739,0.04782091310402066,0.695628927833631,-0.23186406124459685,-0.6226520448269032,-0.27321032728846595
